configuration,num_images_with_gt,num_images_with_predictions,num_gt,num_predictions,map50,map50_95,precision50,recall50,f1_50,macro_precision50,macro_recall50,macro_f1_50,prediction_dir
original,50,50,829,11002,0.690179,0.571109,0.063534,0.843185,0.118164,0.063534,0.843185,0.118164,/projects/bfod/yyang48/cdc-deltaai/output/sc26_compression/20260606_detection_coco_vehicle_n50_retry1/08_object_detection_impact/ultralytics_runs/original/labels
high_quality_512,50,50,829,10742,0.632874,0.270631,0.062465,0.809409,0.11598,0.062465,0.809409,0.11598,/projects/bfod/yyang48/cdc-deltaai/output/sc26_compression/20260606_detection_coco_vehicle_n50_retry1/08_object_detection_impact/ultralytics_runs/high_quality_512/labels
balanced_256,50,50,829,11137,0.627999,0.27122,0.06007,0.806996,0.111817,0.06007,0.806996,0.111817,/projects/bfod/yyang48/cdc-deltaai/output/sc26_compression/20260606_detection_coco_vehicle_n50_retry1/08_object_detection_impact/ultralytics_runs/balanced_256/labels
balanced_512,50,50,829,11310,0.622452,0.270333,0.059151,0.806996,0.110223,0.059151,0.806996,0.110223,/projects/bfod/yyang48/cdc-deltaai/output/sc26_compression/20260606_detection_coco_vehicle_n50_retry1/08_object_detection_impact/ultralytics_runs/balanced_512/labels
max_compression_256,50,50,829,11260,0.588941,0.260333,0.056838,0.772014,0.105881,0.056838,0.772014,0.105881,/projects/bfod/yyang48/cdc-deltaai/output/sc26_compression/20260606_detection_coco_vehicle_n50_retry1/08_object_detection_impact/ultralytics_runs/max_compression_256/labels
