configuration,class_id,num_gt,num_predictions,ap50,precision50,recall50,f1_50
original,0,829,11002,0.690179,0.063534,0.843185,0.118164
high_quality_512,0,829,10742,0.632874,0.062465,0.809409,0.11598
balanced_256,0,829,11137,0.627999,0.06007,0.806996,0.111817
balanced_512,0,829,11310,0.622452,0.059151,0.806996,0.110223
max_compression_256,0,829,11260,0.588941,0.056838,0.772014,0.105881
