configuration,num_images,num_prompts,mean_mask_iou,mean_dice,mean_area_ratio,mean_abs_area_change,mean_centroid_shift_px,failed_prompt_rate
original,50,829,1.0,1.0,1.0,0.0,0.0,0.0
balanced_256,50,829,0.705602,0.811042,1.019321,0.075364,16.763959,0.0
balanced_512,50,829,0.706134,0.811647,1.01333,0.069779,16.809197,0.0
max_compression_256,50,829,0.704829,0.81071,1.02291,0.078523,16.672371,0.0
