configuration,class_id,class_name,num_gt,num_predictions,ap50,precision50,recall50,f1_50
original,0,vehicle,1013,959,0.846608,0.908238,0.859822,0.883367
original,1,roof,1201,1249,0.880822,0.865492,0.900083,0.882449
high_quality_512,0,vehicle,1013,941,0.819728,0.907545,0.843040,0.874104
high_quality_512,1,roof,1201,1213,0.871244,0.881286,0.890092,0.885667
balanced_256,0,vehicle,1013,932,0.807980,0.902361,0.830207,0.864781
balanced_256,1,roof,1201,1247,0.870053,0.858861,0.891757,0.875000
max_compression_256,0,vehicle,1013,936,0.802471,0.893162,0.825271,0.857876
max_compression_256,1,roof,1201,1224,0.863610,0.867647,0.884263,0.875876
