configuration,map50,map50_95,precision50,recall50,f1_50,num_gt,num_predictions
original,0.863715,0.607265,0.884058,0.881662,0.882858,2214,2208
high_quality_512,0.845486,0.488057,0.892758,0.868564,0.880495,2214,2154
balanced_256,0.839016,0.481047,0.877467,0.863595,0.870476,2214,2179
max_compression_256,0.833041,0.474657,0.878704,0.857272,0.867856,2214,2160
