configuration,map50,map50_95,precision50,recall50,f1_50,num_gt,num_predictions
original,0.932018,0.650580,0.145000,0.982385,0.252701,2214,15000
high_quality_512,0.914993,0.525436,0.143200,0.970190,0.249564,2214,15000
balanced_256,0.911477,0.517306,0.143067,0.969286,0.249332,2214,15000
max_compression_256,0.907321,0.512341,0.143000,0.968835,0.249216,2214,15000
