configuration,map50,map50_95,precision50,recall50,f1_50,num_gt,num_predictions
original,0.697209,0.366182,0.682184,0.752221,0.715493,1013,1117
high_quality_512,0.622906,0.208523,0.637184,0.696940,0.665724,1013,1108
balanced_256,0.605004,0.201938,0.654545,0.675222,0.664723,1013,1045
max_compression_256,0.531950,0.175555,0.639035,0.601185,0.619532,1013,953
