configuration,class_id,num_gt,num_predictions,ap50,precision50,recall50,f1_50
original,0,1013,1117,0.697209,0.682184,0.752221,0.715493
high_quality_512,0,1013,1108,0.622906,0.637184,0.696940,0.665724
balanced_256,0,1013,1045,0.605004,0.654545,0.675222,0.664723
max_compression_256,0,1013,953,0.531950,0.639035,0.601185,0.619532
